pdf_filename,pdf_title_guess,used_ocr,match_rank,match_score,paperId,excel_title
Copy of NIPS-2008-exploring-large-feature-spaces-with-hierarchical-multiple-kernel-learning-Paper.pdf,Exploring Large Feature Spaces with Hierarchical Multiple Kernel Learning,False,1,100.0,cd10a147c94ecba92c8a400aa0fd04f912b4900c,Exploring Large Feature Spaces with Hierarchical Multiple Kernel Learning
Copy of NIPS-2008-exploring-large-feature-spaces-with-hierarchical-multiple-kernel-learning-Paper.pdf,Exploring Large Feature Spaces with Hierarchical Multiple Kernel Learning,False,2,66.66666666666666,00bbfde6af97ce5efcf86b3401d265d42a95603d,Feature hashing for large scale multitask learning
Copy of NIPS-2008-exploring-large-feature-spaces-with-hierarchical-multiple-kernel-learning-Paper.pdf,Exploring Large Feature Spaces with Hierarchical Multiple Kernel Learning,False,3,63.829787234042556,77e379fd57ea44638fc628623e383eccada82689,Kernel Methods for Deep Learning
Copy of NIPS-2008-exploring-large-feature-spaces-with-hierarchical-multiple-kernel-learning-Paper.pdf,Exploring Large Feature Spaces with Hierarchical Multiple Kernel Learning,False,4,60.13986013986014,d18b48f77eb5c517a6d2c1fa434d2952a1b0a825,Hierarchical Graph Representation Learning with Differentiable Pooling
Copy of NIPS-2008-exploring-large-feature-spaces-with-hierarchical-multiple-kernel-learning-Paper.pdf,Exploring Large Feature Spaces with Hierarchical Multiple Kernel Learning,False,5,60.0,39b7007e6f3dd0744833f292f07ed77973503bfd,Data-Efficient Hierarchical Reinforcement Learning
Copy of NeurIPS-2019-adversarial-training-and-robustness-for-multiple-perturbations-Paper.pdf,Adversarial Training and Robustness for Multiple Perturbations,False,1,100.0,daf8cd0f2c159d022477914bfacee9ff6da70c8b,Adversarial Training and Robustness for Multiple Perturbations
Copy of NeurIPS-2019-adversarial-training-and-robustness-for-multiple-perturbations-Paper.pdf,Adversarial Training and Robustness for Multiple Perturbations,False,2,90.56603773584905,c92be891c5f8f0f60b6de206364f9a744612d1e8,Adversarial Training for Free!
Copy of NeurIPS-2019-adversarial-training-and-robustness-for-multiple-perturbations-Paper.pdf,Adversarial Training and Robustness for Multiple Perturbations,False,3,64.70588235294117,b3f1aa12dde233aaf543bb9ccb27213c494e0fd5,Unlabeled Data Improves Adversarial Robustness
Copy of NeurIPS-2019-adversarial-training-and-robustness-for-multiple-perturbations-Paper.pdf,Adversarial Training and Robustness for Multiple Perturbations,False,4,61.111111111111114,f2c5c3cfe1675dd9239121f1f09069438f047aea,Adversarial Logit Pairing
Copy of NeurIPS-2019-adversarial-training-and-robustness-for-multiple-perturbations-Paper.pdf,Adversarial Training and Robustness for Multiple Perturbations,False,5,60.50420168067227,f7f73185e3975bb62a3c42b2ba6bd4db57fee8ed,Certified Adversarial Robustness via Randomized Smoothing
