paperId,Title,pdf_filename,match_score,pdf_title_guess,used_ocr
7c22a6a07e89461178b794681c675b209332ee15,Error Feedback Fixes SignSGD and other Gradient Compression Schemes,karimireddy19a.pdf,100.0,Error Feedback Fixes SignSGD and other Gradient Compression Schemes,False
44b3b3bb40a9055eccdf86ea1702f6ae8b38934c,Decentralized Stochastic Optimization and Gossip Algorithms with Compressed Communication,koloskova19a.pdf,100.0,Decentralized Stochastic Optimization and Gossip Algorithms with Compressed Communication,False
a8f3dc53e321fbb2565f5925def4365b9f68d1af,Self-Attention Generative Adversarial Networks,zhang19d.pdf,100.0,Self-Attention Generative Adversarial Networks,False
a22ac183c8b37824e32cae970db170b861a13438,Learning diverse rankings with multi-armed bandits,Copy of 1390156.1390255.pdf,100.0,Learning Diverse Rankings with Multi-Armed Bandits,False
ae6e206c8c2994e04c3fdc5bd97d81fdd0f27493,"On the Complexity of Linear Prediction: Risk Bounds, Margin Bounds, and Regularization",Copy of NIPS-2008-on-the-complexity-of-linear-prediction-risk-bounds-margin-bounds-and-regularization-Paper.pdf,100.0,"On the Complexity of Linear Prediction: Risk Bounds, Margin Bounds, and Regularization",False
02c388d43f619146ef64babb4c848190e83add1b,Group lasso with overlap and graph lasso,1553374.1553431.pdf,100.0,Group Lasso with Overlap and Graph Lasso,False
1f4294d8e0b0c8559479fac569fc0ea91b4dc0bd,"Adversarial Examples Are Not Bugs, They Are Features",NeurIPS-2019-adversarial-examples-are-not-bugs-they-are-features-Paper.pdf,100.0,"Adversarial Examples are not Bugs, they are Features",False
449310e3538b08b43227d660227dfd2875c3c3c1,Neural Ordinary Differential Equations,NeurIPS-2018-neural-ordinary-differential-equations-Paper.pdf,100.0,Neural Ordinary Differential Equations,False
1e80f755bcbf10479afd2338cec05211fdbd325c,Convolutional deep belief networks for scalable unsupervised learning of hierarchical representations,1553374.1553453.pdf,100.0,Convolutional Deep Belief Networks for Scalable Unsupervised Learning of Hierarchical Representations,False
ceb3eff13951d80813103172355820bc9493f172,Learning with structured sparsity,Copy of 1553374.1553429.pdf,100.0,Learning with Structured Sparsity,False
cf40878c2de992b6be053f79d3e97d20307dba26,Multi-Label Prediction via Compressed Sensing,Copy of NIPS-2009-multi-label-prediction-via-compressed-sensing-Paper.pdf,100.0,Multi-Label Prediction via Compressed Sensing,False
0389a414c5d0ef50e06fe0c15f6102f374ce1b04,A dual coordinate descent method for large-scale linear SVM,1390156.1390208.pdf,100.0,A Dual Coordinate Descent Method for Large-scale Linear SVM,False
